cohort1,cohort2,nC,nK
2003,2004,1745025,4
2003,2005,1785852,2
2003,2006,1773999,1
2003,2007,1731855,0
2003,2008,1268271,0
2003,2009,1153692,1
2003,2010,1189251,0
2003,2011,1183983,0
2004,2005,1796700,2
2004,2006,1784775,6
2004,2007,1742375,2
2004,2008,1275975,2
2004,2009,1160700,1
2004,2010,1196475,0
2004,2011,1191175,0
2004,2012,1262725,2
2005,2006,1826532,3
2005,2007,1783140,3
2005,2008,1305828,3
2005,2009,1187856,0
2005,2010,1224468,4
2005,2011,1219044,1
2005,2012,1292268,0
2005,2013,1158024,0
2006,2007,1771305,3
2006,2008,1297161,1
2006,2009,1179972,3
2006,2010,1216341,4
2006,2011,1210953,3
2006,2012,1283691,0
2006,2013,1150338,1
2006,2014,1276956,1
2007,2008,1266345,3
2007,2009,1151940,2
2007,2010,1187445,1
2007,2011,1182185,2
2007,2012,1253195,2
2007,2013,1123010,2
2007,2014,1246620,1
2007,2015,994140,2
2008,2009,843588,1
2008,2010,869589,0
2008,2011,865737,2
2008,2012,917739,3
2008,2013,822402,0
2008,2014,912924,1
2008,2015,728028,0
2008,2016,1395387,2
2009,2010,791028,1
2009,2011,787524,1
2009,2012,834828,0
2009,2013,748104,0
2009,2014,830448,0
2009,2015,662256,0
2009,2016,1269324,4
2009,2017,1324512,2
2010,2011,811797,1
2010,2012,860559,2
2010,2013,771162,1
2010,2014,856044,0
2010,2015,682668,1
2010,2016,1308447,1
2010,2017,1365336,0
2010,2018,1249752,0
2011,2012,856747,2
2011,2013,767746,1
2011,2014,852252,0
2011,2015,679644,2
2011,2016,1302651,4
2011,2017,1359288,1
2011,2018,1244216,0
2011,2019,1057224,0
2012,2013,813862,2
2012,2014,903444,1
2012,2015,720468,1
2012,2016,1380897,1
2012,2017,1440936,2
2012,2018,1318952,1
2012,2019,1120728,0
2012,2020,1089279,0
2013,2014,809592,4
2013,2015,645624,0
2013,2016,1237446,0
2013,2017,1291248,1
2013,2018,1181936,0
2013,2019,1004304,0
2013,2020,976122,0
2013,2021,969290,0
2014,2015,716688,2
2014,2016,1373652,1
2014,2017,1433376,4
2014,2018,1312032,3
2014,2019,1114848,1
2014,2020,1083564,0
2014,2021,1075980,1
2015,2016,1095444,2
2015,2017,1143072,1
2015,2018,1046304,3
2015,2019,889056,0
2015,2020,864108,0
2015,2021,858060,2
2016,2017,2190888,3
2016,2018,2005416,4
2016,2019,1704024,6
2016,2020,1656207,1
2016,2021,1644615,0
2017,2018,2092608,2
2017,2019,1778112,3
2017,2020,1728216,4
2017,2021,1716120,1
2018,2019,1627584,2
2018,2020,1581912,0
2018,2021,1570840,3
2019,2020,1344168,1
2019,2021,1334760,0
2020,2021,1297305,2
