Year,LL1,LL2,LL3,LL4,Indonesia,Australia
1990,0,0,0,0,0,0
1991,0,0,0,0,0,0
1992,0,0,0,0,0,0
1993,0,0,0,0,0,0
1994,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,0,0,0,0,0
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,196,0,0,0,0,0
2008,129,0,0,0,0,0
2009,224,0,0,0,0,0
2010,487,0,0,0,0,0
2011,404,0,0,0,0,0
2012,286,0,0,0,0,0
2013,822,0,0,0,0,0
2014,276,0,0,0,0,0
2015,543,0,0,0,0,0
2016,1182,0,0,0,0,0
2017,843,0,0,0,0,0
2018,1755,0,0,0,0,0
2019,1455,0,0,0,0,0
2020,1379,0,0,0,0,0
2021,1710,0,0,0,0,0
2022,2201,0,0,0,0,0
2023,1704,0,0,0,0,0
2024,1704,0,0,0,0,0
2025,1704,0,0,0,0,0
