Year,case0,case1,case2
1983,1,1,1.01
1984,1,1,1.14
1985,1,1,0.96
1986,1,1,1.18
1987,1,1,1.33
1988,1,1,0.99
1989,1,1.28,1.4
1990,1,1.8,2.02
1991,1,1.53,1.7
1992,1,1.24,1.39
1993,1,1.62,1.78
1994,1,2.66,2.91
1995,1,2.14,2.36
1996,1,2.2,2.41
1997,1,2.6,2.84
1998,1,1.82,1.98
1999,1,1.77,1.92
2000,1,2.13,2.32
2001,1,2.16,2.36
2002,1,2.13,2.31
2003,1,1.92,2.11
2004,1,1.75,1.9
2005,1,1.69,1.83
2006,1,1,1
2007,1,1,1
2008,1,1,1
2009,1,1,1
2010,1,1,1
2011,1,1,1
2012,1,1,1
2013,1,1,1
2014,1,1,1
2015,1,1,1
2016,1,1,1
2017,1,1,1
2018,1,1,1
2019,1,1,1
2020,1,1,1
2021,1,1,1
2022,1,1,1
2023,1,1,1
2024,1,1,1
2025,1,1,1
