Year,case0,case1,case2,P_t_20,P_t_40
1992,1,1.01,1.01,0.0217,0.0217
1993,1,1.1,1.067,0.2057,0.1411
1994,1,1.13,1.124,0.3858,0.3685
1995,1,1.16,1.181,0.3549,0.3973
1996,1,1.15,1.238,0.3727,0.5741
1997,1,1.09,1.295,0.2395,0.7083
1998,1,1.16,1.352,0.3644,0.7468
1999,1,1.2,1.4,0.3698,0.6765
2000,1,1.2,1.4,0.49,0.9108
2001,1,1.2,1.4,0.4548,0.8576
2002,1,1.2,1.4,0.4679,0.8896
2003,1,1.2,1.4,0.4498,0.829
2004,1,1.2,1.4,0.3314,0.6028
2005,1,1.2,1.4,0.3061,0.5478
2006,1,1.2,1.4,0.3275,0.5947
2007,1,1.2,1.4,0.2908,0.5187
2008,1,1.2,1.4,0.3559,0.6486
2009,1,1.2,1.4,0.3522,0.6369
2010,1,1.2,1.4,0.4545,0.8281
2011,1,1.2,1.4,0.4395,0.7807
2012,1,1.2,1.4,0.2786,0.4936
2013,1,1.2,1.4,0.3294,0.5954
2014,1,1.2,1.4,0.4465,0.8038
2015,1,1.2,1.4,0.343,0.6121
2016,1,1.2,1.4,0.3047,0.5461
2017,1,1.2,1.4,0.4019,0.7424
2018,1,1.2,1.4,0.3341,0.6035
2019,1,1.2,1.4,0.2939,0.526
2020,1,1.2,1.4,0.2455,0.4353
2021,1,1.2,1.4,0.263,0.4679
2022,1,1.2,1.4,0.2164,0.3824
2023,1,1.2,1.4,0.215,0.3795
2024,1,1.2,1.4,0.2169,0.3834
2025,1,1.2,1.4,0.2265,0.4008
